,label
GSM647591,1
GSM647592,1
GSM647593,1
GSM647594,1
GSM647595,1
GSM647596,1
GSM647597,1
GSM647598,1
GSM647599,1
GSM647600,1
GSM647601,1
GSM647602,1
GSM647603,1
GSM647604,0
GSM647605,0
GSM647606,0
GSM647607,0
GSM647608,0
GSM647609,1
GSM647610,1
GSM647611,1
GSM647612,1
GSM647613,1
GSM647614,1
GSM647615,1
GSM647616,1
GSM647617,1
GSM647618,1
GSM647619,1
GSM647620,1
GSM647621,0
GSM647622,0
GSM647623,0
GSM647624,0
GSM647625,0
GSM647626,0
GSM647627,1
GSM647628,1
GSM647629,1
GSM647551,1
GSM647552,1
GSM647553,1
GSM647554,1
GSM647555,1
GSM647556,1
GSM647557,1
GSM647558,1
GSM647559,1
GSM647560,1
GSM647561,1
GSM647562,1
GSM647563,1
GSM647564,1
GSM647565,1
GSM647566,0
GSM647567,1
GSM647568,1
GSM647569,1
GSM647570,1
GSM647571,1
GSM647572,1
GSM647573,1
GSM647574,1
GSM647575,0
GSM647576,1
GSM647577,1
GSM647578,1
GSM647579,1
GSM647580,1
GSM647581,1
GSM647582,1
GSM647583,1
GSM647584,1
GSM647585,1
GSM647586,1
GSM647587,1
GSM647588,1
GSM647589,0
GSM647590,0
GSM647527,1
GSM647528,1
GSM647529,1
GSM647530,1
GSM647531,1
GSM647532,1
GSM647533,0
GSM647534,0
GSM647535,1
GSM647536,0
GSM647537,0
GSM647538,0
GSM647539,0
GSM647540,1
GSM647541,1
GSM647542,1
GSM647543,1
GSM647544,1
GSM647545,1
GSM647546,1
GSM647547,1
GSM647548,1
GSM647549,1
GSM647550,1
