,label
GSM1373914,1
GSM1373915,1
GSM1373916,1
GSM1373917,1
GSM1373918,1
GSM1373919,1
GSM1373920,1
GSM1373921,1
GSM1373922,1
GSM1373923,1
GSM1373924,1
GSM1373925,1
GSM1373926,1
GSM1373927,1
GSM1373928,1
GSM1373929,1
GSM1373930,1
GSM1373931,1
GSM1373932,1
GSM1373933,1
GSM1373934,1
GSM1373935,1
GSM1373936,1
GSM1373937,1
GSM1373938,1
GSM1373939,1
GSM1373940,1
GSM1373941,1
GSM1373942,1
GSM1373943,1
GSM1373944,1
GSM1373945,1
GSM1373946,1
GSM1373947,1
GSM1373948,1
GSM1373949,1
GSM1373950,1
GSM1373951,1
GSM1373952,1
GSM1373953,1
GSM1373954,1
GSM1373955,1
GSM1373956,1
GSM1373957,1
GSM1373958,1
GSM1373959,1
GSM1373960,1
GSM1373961,1
GSM1373962,1
GSM1373963,1
GSM1373964,1
GSM1373965,1
GSM1373966,1
GSM1373967,1
GSM1373968,1
GSM1373969,1
GSM1373970,1
GSM1373971,1
GSM1373972,1
GSM1373973,1
GSM1373974,1
GSM1373975,1
GSM1373976,1
GSM1373977,1
GSM1373978,1
GSM1373979,1
GSM1373980,1
GSM1373981,1
GSM1373982,1
GSM1373983,1
GSM1373984,1
GSM1373985,1
GSM1373986,1
GSM1373987,1
GSM1373988,1
GSM1373989,1
GSM1373990,1
GSM1373991,1
GSM1373992,1
GSM1373993,1
GSM1373994,1
GSM1373995,1
GSM1373996,0
GSM1373997,0
GSM1373998,0
GSM1373999,0
GSM1374000,0
GSM1374001,0
GSM1374002,0
GSM1374003,0
GSM1374004,0
GSM1374005,0
GSM1374006,0
GSM1374007,0
GSM1374008,0
GSM1374009,0
GSM1374010,0
GSM1374011,0
GSM1374012,0
GSM1374013,0
GSM1374014,0
GSM1374015,0
GSM1374016,0
GSM1374017,0
GSM1374018,0
GSM1374019,0
GSM1374020,0
