,label
GSM648590,1
GSM648591,1
GSM648592,1
GSM648593,1
GSM648594,1
GSM648595,1
GSM648596,1
GSM648597,1
GSM648598,1
GSM648599,1
GSM648600,1
GSM648601,1
GSM648602,1
GSM648603,1
GSM648604,1
GSM648605,1
GSM648606,1
GSM648607,1
GSM648608,1
GSM648609,1
GSM648610,1
GSM648611,1
GSM648612,1
GSM648613,1
GSM648614,1
GSM648615,1
GSM648616,1
GSM648617,1
GSM648618,1
GSM648619,1
GSM648620,1
GSM648621,1
GSM648622,1
GSM648623,1
GSM648624,1
GSM648625,1
GSM648626,1
GSM648627,1
GSM648628,1
GSM648629,1
GSM648630,0
GSM648631,0
GSM648632,0
GSM648633,1
GSM648634,1
GSM648635,1
GSM648636,1
GSM648637,0
GSM648638,0
GSM648639,0
GSM648640,0
GSM648641,0
GSM648642,1
GSM648643,1
GSM648644,1
GSM648645,1
GSM648646,1
GSM648647,1
GSM648648,1
GSM648649,1
GSM648650,1
GSM648651,1
GSM648652,1
GSM648653,1
GSM648654,1
GSM648655,1
GSM648656,1
GSM648657,1
GSM648658,1
GSM648659,1
GSM648660,1
GSM648661,1
GSM648662,1
GSM648663,1
GSM648664,1
GSM648665,1
GSM648666,1
GSM648667,1
GSM648668,0
GSM648669,0
GSM648670,1
GSM648671,0
GSM648672,0
GSM648673,0
GSM648674,0
GSM648675,1
GSM648676,0
GSM648677,0
GSM648678,0
GSM648679,0
GSM648680,1
GSM648681,0
GSM648682,1
GSM648683,1
GSM648684,1
GSM648685,1
GSM648686,0
GSM648687,0
GSM648688,0
GSM648689,0
GSM648690,0
GSM648691,0
GSM648692,0
GSM648693,0
GSM648694,0
GSM648695,1
GSM648696,1
GSM648697,1
GSM648698,1
GSM648699,0
GSM648700,0
GSM648701,0
GSM648702,1
GSM648703,0
GSM648704,1
GSM648705,1
GSM648706,1
GSM648707,1
GSM648708,1
GSM648709,1
GSM648710,1
GSM648711,1
GSM648712,1
GSM648713,1
GSM648714,1
GSM648715,1
GSM648716,1
GSM648717,1
GSM648718,1
GSM648719,1
