,label
GSM102961,0
GSM102962,0
GSM102963,0
GSM102964,0
GSM102965,0
GSM102966,0
GSM102967,0
GSM102968,0
GSM102969,0
GSM102970,0
GSM102971,0
GSM102972,0
GSM102973,0
GSM102974,0
GSM102975,0
GSM102976,1
GSM102977,1
GSM102978,1
GSM102979,1
GSM102980,1
GSM102981,1
GSM102982,1
GSM102983,1
GSM102984,1
GSM102985,1
GSM102986,1
GSM102987,1
GSM102988,1
GSM102989,1
GSM102990,1
GSM102991,1
GSM102992,1
GSM102993,1
GSM102994,1
GSM102995,1
GSM102996,1
GSM102997,1
GSM102998,1
GSM102999,1
GSM103000,1
GSM103001,1
GSM103002,1
GSM103003,1
GSM103004,1
GSM103005,1
GSM103006,1
GSM103007,1
GSM103008,1
GSM103009,1
GSM103010,1
GSM103011,1
GSM103012,1
GSM103013,1
GSM103014,1
GSM103015,1
GSM103016,1
GSM103017,1
GSM103018,1
GSM103019,1
GSM103020,1
GSM103021,1
GSM103022,1
GSM103023,1
GSM103024,1
GSM103025,1
GSM103026,1
GSM103027,1
GSM103028,1
GSM103029,1
GSM103030,1
GSM103031,2
GSM103032,2
GSM103033,1
GSM103034,2
GSM103035,2
GSM103036,1
GSM103037,2
GSM103038,2
GSM103039,2
GSM103040,2
GSM103041,2
GSM103042,2
GSM103043,2
GSM103044,1
GSM103045,2
GSM103046,2
GSM103047,1
GSM103048,1
GSM103049,2
GSM103050,2
GSM103051,1
GSM103052,2
GSM103053,2
GSM103054,2
GSM103055,2
GSM103056,2
GSM103057,2
GSM103058,2
GSM103059,2
GSM103060,2
GSM103061,2
GSM103062,2
GSM103063,2
GSM103064,1
GSM103065,2
GSM103066,2
GSM103067,1
GSM103068,1
GSM103069,2
GSM103070,2
GSM103071,2
GSM103072,1
GSM103073,2
GSM103074,2
GSM103075,1
GSM103076,1
GSM103077,2
GSM103078,2
GSM103079,1
GSM103080,2
GSM103081,2
GSM103082,2
GSM103083,1
