,label
GSM244467,1
GSM244468,1
GSM244469,1
GSM244470,1
GSM244471,1
GSM244472,1
GSM244473,1
GSM244474,1
GSM244475,1
GSM244476,1
GSM244477,1
GSM244478,1
GSM244479,1
GSM244480,1
GSM244481,1
GSM244482,1
GSM244483,1
GSM244484,1
GSM244485,1
GSM244486,1
GSM244487,1
GSM244488,0
GSM244489,0
GSM244490,0
GSM244491,0
GSM244492,0
GSM244493,0
GSM244494,0
GSM244495,0
GSM244496,0
GSM244497,0
GSM244498,0
GSM244499,1
GSM244500,1
GSM244501,1
GSM244502,1
GSM244503,1
GSM244504,1
GSM244505,1
GSM244506,1
GSM244507,0
GSM244508,0
GSM244509,0
GSM244510,0
GSM244511,1
