,label
GSM201230,0
GSM201231,0
GSM201232,0
GSM201233,0
GSM201234,0
GSM201235,0
GSM201236,0
GSM201237,0
GSM201238,0
GSM201239,0
GSM201240,0
GSM201241,0
GSM201242,0
GSM201243,0
GSM201244,0
GSM201245,1
GSM201246,1
GSM201247,1
GSM201248,1
GSM201249,1
GSM201250,1
GSM201251,1
GSM201252,1
GSM201253,1
GSM201254,1
GSM201255,1
GSM201256,1
GSM201257,1
GSM201258,1
GSM201259,1
GSM201260,1
GSM201261,1
GSM201262,1
GSM201263,1
GSM201264,1
GSM201265,1
GSM201266,1
GSM201267,1
GSM201268,1
GSM201269,1
GSM201270,1
GSM201271,1
GSM201272,1
GSM201273,1
GSM201274,1
GSM201275,1
GSM201276,1
GSM201277,1
GSM201278,1
GSM201279,1
GSM201280,1
GSM201281,1
GSM201282,1
GSM201283,1
GSM201284,1
GSM201285,1
GSM201286,1
GSM201287,1
GSM201288,1
GSM201289,1
GSM201290,1
GSM201291,1
GSM201292,1
GSM201293,1
GSM201294,1
GSM201295,1
GSM201296,1
GSM201297,1
GSM201298,1
GSM201299,1
GSM201300,1
GSM201301,1
GSM201302,1
GSM201303,1
GSM201304,1
