,label
GSM350139,0
GSM350140,0
GSM350141,0
GSM350142,0
GSM350143,0
GSM350144,0
GSM350145,0
GSM350146,0
GSM350147,0
GSM350148,0
GSM350149,0
GSM350150,0
GSM350151,0
GSM350152,0
GSM350153,0
GSM350154,0
GSM350155,0
GSM350156,0
GSM350208,1
GSM350209,1
GSM350210,1
GSM350211,1
GSM350212,1
GSM350213,1
GSM350214,1
GSM350215,1
GSM350216,1
GSM350217,1
GSM350218,1
GSM350219,1
GSM350220,1
GSM350221,1
GSM350222,1
GSM350223,1
GSM350224,1
GSM350225,1
GSM350226,1
GSM350227,1
GSM350228,1
GSM350229,1
GSM350230,1
GSM350231,1
GSM350232,1
GSM350233,1
GSM350234,1
GSM350235,1
GSM350236,1
GSM350237,1
GSM350238,1
GSM350239,1
GSM350240,1
GSM350241,1
GSM350242,1
GSM350243,1
GSM350244,1
GSM350245,1
GSM350246,1
GSM350247,1
GSM350248,1
GSM350249,1
GSM350250,1
GSM350251,1
GSM350252,1
GSM350253,1
GSM350254,1
GSM350255,1
GSM350256,1
GSM350257,1
GSM350258,1
GSM350259,1
