,label
GSM2500349,0
GSM2500350,0
GSM2500351,0
GSM2500352,0
GSM2500353,0
GSM2500354,0
GSM2500355,0
GSM2500356,0
GSM2500357,0
GSM2500358,0
GSM2500359,0
GSM2500360,0
GSM2500361,0
GSM2500362,0
GSM2500363,0
GSM2500364,0
GSM2500365,0
GSM2500366,0
GSM2500367,0
GSM2500368,0
GSM2500369,0
GSM2500370,0
GSM2500371,1
GSM2500372,1
GSM2500373,1
GSM2500374,1
GSM2500375,1
GSM2500376,1
GSM2500377,1
GSM2500378,1
GSM2500379,1
GSM2500380,1
GSM2500381,1
GSM2500382,1
GSM2500383,1
GSM2500384,1
GSM2500385,1
GSM2500386,1
GSM2500387,1
GSM2500388,1
GSM2500389,1
GSM2500390,1
GSM2500391,1
GSM2500392,1
GSM2500393,1
GSM2500394,1
GSM2500395,1
GSM2500396,1
GSM2500397,1
GSM2500398,1
GSM2500399,1
GSM2500400,1
GSM2500401,1
GSM2500402,1
GSM2500403,1
GSM2500404,1
GSM2500405,1
GSM2500406,1
GSM2500407,1
GSM2500408,1
GSM2500409,1
GSM2500410,1
GSM2500411,1
GSM2500412,1
GSM2500413,1
GSM2500414,1
GSM2500415,1
GSM2500416,1
GSM2500417,1
GSM2500418,1
GSM2500419,1
GSM2500420,1
GSM2500421,1
GSM2500422,1
GSM2500423,1
GSM2500424,1
GSM2500425,1
GSM2500426,1
GSM2500427,1
GSM2500428,1
GSM2500429,1
GSM2500430,1
GSM2500431,1
GSM2500432,1
GSM2500433,1
GSM2500434,1
GSM2500435,1
GSM2500436,1
GSM2500437,1
GSM2500438,1
GSM2500439,1
GSM2500440,1
GSM2500441,1
GSM2500442,1
GSM2500443,1
GSM2500444,1
GSM2500445,1
GSM2500446,1
GSM2500447,1
GSM2500448,1
GSM2500449,1
GSM2500450,1
GSM2500451,1
GSM2500452,1
GSM2500453,1
GSM2500454,1
GSM2500455,1
GSM2500456,1
GSM2500457,1
GSM2500458,1
GSM2500459,1
GSM2500460,1
GSM2500461,1
GSM2500462,1
GSM2500463,1
GSM2500464,1
GSM2500465,1
GSM2500466,1
GSM2500467,1
GSM2500468,1
GSM2500469,1
GSM2500470,1
GSM2500471,1
GSM2500472,1
